"Câu hỏi","Đáp án A","Đáp án B","Đáp án C","Đáp án D","Đáp án đúng"
"Mạng máy tính (Computer Network) được định nghĩa là gì?","Là hệ thống bao gồm các máy tính đơn lẻ kết nối với nhau qua đường truyền vật lý, theo kiến trúc mạng và có khả năng trao đổi thông tin.","Là tập hợp các phần mềm ứng dụng được cài đặt trên nhiều máy tính khác nhau để chia sẻ dữ liệu và phân quyền quản trị hệ thống.","Là một môi trường không gian mạng ảo giúp người dùng truy cập Internet thông qua các nhà cung cấp dịch vụ viễn thông và thiết bị định tuyến.","Là sự liên kết giữa các trung tâm dữ liệu lớn với các thiết bị di động cá nhân nhằm mục đích lưu trữ và xử lý điện toán đám mây.","A"
"Trong mạng máy tính, thiết bị đầu cuối (end device) đóng vai trò gì?","Là điểm khởi nguồn hoặc điểm đích cuối cùng của các thông điệp được truyền tải qua lại trên toàn bộ hệ thống mạng.","Là thiết bị trung gian chuyển tiếp dữ liệu qua các đoạn mạng khác nhau nhằm đảm bảo tính toàn vẹn của tín hiệu vật lý.","Là hệ thống quản trị trung tâm chịu trách nhiệm phân phát địa chỉ mạng và kiểm soát băng thông của nhà cung cấp dịch vụ.","Là thiết bị điều chế và giải điều chế tín hiệu mạng nhằm kết nối các thiết bị nội bộ với hệ thống cáp quang quốc tế.","A"
"Server trong mạng đóng vai trò chính là gì?","Là thiết bị gửi các yêu cầu truy xuất tài nguyên đến các máy chủ trung tâm để tải trang web hoặc nhận các email cá nhân hàng ngày.","Là máy tính chuyên dụng cung cấp các dịch vụ và thông tin như web, email hoặc tập tin cho các thiết bị đầu cuối khác trong mạng.","Là thiết bị định tuyến có chức năng xác định tuyến đường tối ưu nhất để chuyển tiếp các gói tin giữa hai hệ thống mạng cục bộ khác nhau.","Là một dạng đường truyền vật lý có khả năng truyền dẫn đồng thời cả tín hiệu âm thanh và hình ảnh chất lượng cao mà không có độ trễ.","B"
"Đặc điểm chính của mạng ngang hàng (Peer-to-peer) là gì?","Bắt buộc phải có một hệ thống máy chủ trung tâm với cấu hình cực mạnh để điều phối mọi hoạt động chia sẻ tập tin của người dùng.","Chi phí thiết lập ban đầu cực kỳ tốn kém, yêu cầu nhiều thiết bị phần cứng chuyên dụng và nhân sự có chuyên môn để bảo trì hệ thống.","Một thiết bị có thể đồng thời đóng vai trò vừa là máy khách vừa là máy chủ, thường chỉ được khuyến nghị sử dụng cho mạng có quy mô rất nhỏ.","Đóng vai trò là cổng truy cập Internet quốc gia để quản lý và phân phối tài nguyên băng thông cho các nhà mạng cung cấp dịch vụ nhỏ bên dưới.","C"
"Ưu điểm của mạng hình Sao (Star Topology) là gì?","Mạng vẫn có thể hoạt động bình thường một cách ổn định ngay cả khi có một nút mạng đầu cuối bất kỳ nào đó trong hệ thống bị hư hỏng.","Giúp tiết kiệm tối đa tổng chiều dài đường dây cáp vật lý cần sử dụng khi triển khai xây dựng hạ tầng mạng cho các doanh nghiệp quy mô lớn.","Có khả năng truyền tải dữ liệu đi rất xa mà không cần sử dụng thêm các thiết bị khuếch đại tín hiệu trung gian như bộ lặp hay bộ định tuyến.","Khi thiết bị chuyển mạch trung tâm gặp sự cố bất ngờ, các máy trạm vẫn có thể tự động tìm đường kết nối trực tiếp với nhau để truyền tải.","A"
"Nhược điểm lớn nhất của mạng hình Sao (Star Topology) là gì?","Việc cài đặt và cấu hình phần mềm bảo mật trên mạng rất phức tạp do không có thiết bị quản trị trung tâm để giám sát lưu lượng giao thông.","Một khi thiết bị trung tâm điều phối gặp phải sự cố kỹ thuật, toàn bộ hệ thống mạng sẽ bị cô lập và hoàn toàn không thể tiếp tục hoạt động.","Tốc độ truyền tải dữ liệu chậm hơn rất nhiều so với mạng dạng vòng do phải xử lý đồng thời quá nhiều luồng thông tin quảng bá từ các máy trạm.","Khi có một đoạn cáp kết nối đến một máy trạm bị đứt, toàn bộ đường dây sẽ phải tạm ngừng hoạt động để kỹ thuật viên tiến hành sửa chữa bảo trì.","B"
"Nhược điểm của mạng hình Trục (Bus Topology) là gì?","Khi có sự cố hỏng hóc ở một đoạn cáp nào đó, sự ngừng trên đường dây để sửa chữa sẽ làm ngừng trệ toàn bộ hoạt động của hệ thống mạng.","Bắt buộc phải sử dụng các bộ định tuyến đắt tiền ở hai đầu đường truyền để đảm bảo thông tin không bị dội ngược lại gây ra xung đột dữ liệu.","Nếu một thiết bị máy tính cá nhân bị tắt nguồn hoặc bị lỗi hệ điều hành, tất cả các máy tính khác kết nối trên cùng trục mạng sẽ bị mất kết nối.","Tốn kém rất nhiều chi phí cho việc mua sắm số lượng lớn dây cáp mạng để có thể nối kết trực tiếp tất cả các máy tính lại với nhau thành từng cặp.","A"
"Mạng hình Lưới (Mesh Topology) có đặc trưng nào nổi bật?","Được thiết kế dựa trên một đường cáp trục duy nhất nối tất cả các máy tính, thích hợp cho việc thiết lập mạng tại các trường học quy mô nhỏ lẻ.","Đòi hỏi một máy chủ trung tâm cực mạnh đứng ra làm nhiệm vụ cấp quyền truy cập và kiểm duyệt nội dung của tất cả các luồng dữ liệu vào và ra mạng.","Mỗi thiết bị máy tính được kết nối trực tiếp với tất cả các máy tính còn lại, rất phổ biến trong các mạng yêu cầu độ tin cậy cao và hoạt động liên tục.","Dữ liệu được truyền đi theo một chiều duy nhất chạy thành vòng tròn qua các máy tính, giúp loại bỏ hoàn toàn khả năng xảy ra va chạm thông tin giữa các trạm.","C"
"Vai trò của thiết bị mạng trung gian (như Router, Switch) là gì?","Đóng vai trò là điểm xuất phát ban đầu tạo ra các thông điệp dữ liệu hoặc là đích đến cuối cùng tiếp nhận thông tin từ người dùng qua hệ thống.","Kết nối các thiết bị đầu cuối lại với nhau, quản lý dữ liệu khi truyền qua mạng và thông báo cho các thiết bị khác về sự cố truyền thông.","Là phương tiện vật lý được làm bằng sợi thủy tinh hoặc lõi đồng đóng vai trò dẫn dắt các tín hiệu quang học và điện từ đi qua môi trường không gian.","Là phần mềm ứng dụng cài đặt trên máy tính cá nhân giúp mã hóa các thông tin nhạy cảm trước khi chúng được đưa lên môi trường Internet công cộng.","B"
"Đặc điểm của đường truyền cáp quang (Fiber-optic) là gì?","Truyền tải dữ liệu bằng cách sử dụng các xung điện thông qua lõi hợp kim đồng được bọc bởi nhiều lớp nhựa PVC và lưới chống nhiễu điện từ bên ngoài.","Khai thác nguyên lý điều chế tần số cụ thể của sóng điện từ trong không gian tự do để tạo ra các kênh truyền dẫn không dây tốc độ cao cho thiết bị di động.","Truyền tải dữ liệu bằng cách sử dụng các xung ánh sáng đi qua sợi thủy tinh hoặc vật liệu nhựa trong suốt được thiết kế đặc biệt bên trong lõi cáp truyền.","Hoạt động dựa trên công nghệ phát sóng viba trực tiếp từ các vệ tinh địa tĩnh ngoài không gian xuống các trạm thu phát tín hiệu được đặt trên mặt đất.","C"
