"Câu hỏi","Đáp án A","Đáp án B","Đáp án C","Đáp án D","Đáp án đúng"
"2 mô hình an toàn bảo mật thông tin chính là gì?","Bảo vệ phần cứng và phần mềm","Bảo vệ thông tin trên mạng và bảo vệ hệ thống máy tính","Bảo vệ dữ liệu và bảo vệ con người","Bảo vệ đường truyền và bảo vệ máy chủ","B"
"Thông tin tồn tại một cách khách quan, không phụ thuộc vào yếu tố nào?","Môi trường truyền dẫn","Hệ thụ cảm","Hệ điều hành","Tài nguyên hệ thống","B"
"Tài nguyên thông tin bao gồm những thành phần nào?","Phần cứng, phần mềm, dữ liệu","Phần cứng, phần mềm, dữ liệu, môi trường truyền thông, con người","Máy tính, mạng internet, người dùng","Dữ liệu, giao thức mạng, người quản trị","B"
"Mối đe dọa 'Phá hoại' đối với hệ thống được hiểu là gì?","Sửa đổi trái phép dữ liệu","Đánh cắp mật khẩu","Phá hỏng thiết bị phần cứng, phần mềm trên hệ thống","Truy cập trái phép vào mạng","C"
"Việc sửa đổi trái phép tài sản của hệ thống thuộc loại mối đe dọa nào?","Phá hoại","Sửa đổi","Can thiệp","Ngăn chặn","B"
"Can thiệp vào hệ thống được hiểu là gì?","Làm tràn bộ đệm máy chủ","Phá hỏng thiết bị phần cứng","Tài sản bị truy cập bởi những người không có thẩm quyền","Sửa đổi dữ liệu trái phép","C"
"Có mấy loại đối tượng chính khai thác hệ thống thông tin?","2 loại","3 loại","4 loại","5 loại","B"
"Biện pháp ngăn chặn nào sử dụng các thuật toán mật mã học tại các cơ chế an toàn bảo mật của hệ điều hành?","Thông qua phần cứng","Thông qua phần mềm","Thông qua chính sách an toàn","Thông qua kiểm soát vật lý","B"
"Hiểm họa vô tình xảy ra khi nào?","Người dùng cố tình truy cập trái phép","Nghe trộm trên đường truyền","Sửa đổi thông tin hoạt động của hệ thống","NSD khởi động hệ thống ở chế độ đặc quyền nhưng không chuyển về chế độ thông thường","D"
"Hiểm họa thụ động là gì?","Là hiểm họa nhưng chưa hoặc không tác động trực tiếp lên hệ thống","Sửa đổi tình trạng hệ thống","Phá hỏng phần cứng","Đánh cắp tài nguyên từ bên trong","A"
"Hiểm họa chủ động có đặc điểm gì?","Nghe trộm thông tin","Không tác động trực tiếp lên hệ thống","Sửa đổi thông tin, thay đổi tình trạng hoặc hoạt động của hệ thống","Khởi động hệ thống ở chế độ đặc quyền","C"
