"Câu hỏi","Đáp án A","Đáp án B","Đáp án C","Đáp án D","Đáp án đúng"
"Đặc điểm nổi bật nhất của mạng cục bộ (LAN) so với các loại mạng khác là gì?","Được thiết kế để kết nối các mạng nhỏ lại với nhau trên phạm vi một quốc gia hoặc một châu lục thông qua hạ tầng của các nhà cung cấp dịch vụ Internet lớn.","Kết nối các thiết bị đầu cuối trong một khu vực địa lý hạn chế như tòa nhà văn phòng, trường học và cung cấp băng thông tốc độ rất cao do tổ chức tự quản lý.","Sử dụng các trạm vệ tinh không gian để liên kết tất cả các máy tính cá nhân trên toàn thế giới thành một hệ thống duy nhất nhằm chia sẻ tài nguyên phần cứng.","Bắt buộc phải sử dụng các kết nối không dây băng thông hẹp để truyền tải các gói dữ liệu giữa các thành phố khác nhau nhằm tiết kiệm chi phí cáp quang.","B"
"Sự khác biệt cốt lõi giữa mạng Intranet và Extranet trong doanh nghiệp là gì?","Intranet chỉ sử dụng giao thức truyền thông không dây để kết nối nội bộ, trong khi Extranet bắt buộc phải dùng cáp quang để nối với bên ngoài.","Intranet là mạng toàn cầu mở cho tất cả mọi người, còn Extranet là hệ thống máy chủ bị cô lập hoàn toàn không cho phép bất kỳ kết nối mạng nào.","Intranet là mạng riêng chỉ dành cho thành viên của tổ chức, trong khi Extranet cung cấp quyền truy cập an toàn, giới hạn cho cả các đối tác hoặc khách hàng bên ngoài.","Intranet đảm nhận việc định tuyến các gói tin giữa các châu lục, còn Extranet chịu trách nhiệm phân phát địa chỉ IP cho các máy trạm trong văn phòng.","C"
"Mạng chuyển mạch kênh (Circuit switching) hoạt động theo nguyên lý cơ bản nào sau đây?","Chia nhỏ dữ liệu thành hàng ngàn gói tin độc lập và cho phép chúng tự tìm đường đi tối ưu nhất trên hệ thống mạng trước khi đến máy tính nhận.","Cấp phát một tài nguyên đường truyền vật lý dành riêng giữa hai nút mạng cho tới khi phiên giao tiếp kết thúc, đảm bảo chất lượng dịch vụ ổn định.","Lưu trữ toàn bộ thông báo tại mỗi nút mạng trung gian và chỉ chuyển tiếp chúng đi khi đường truyền vật lý phía trước đã hoàn toàn ở trạng thái rảnh rỗi.","Khuếch đại tín hiệu điện từ và phát tán chúng dưới dạng quảng bá đến mọi thiết bị đang kết nối vào hệ thống mà không cần quan tâm đến địa chỉ đích.","B"
"Một trong những nhược điểm lớn nhất của mạng chuyển mạch thông báo (Message switching) là gì?","Gây ra sự lãng phí băng thông nghiêm trọng vì luôn phải duy trì một mạch kết nối ảo ngay cả khi hai máy tính không có dữ liệu nào để trao đổi.","Khi một gói tin bị thất lạc trên đường đi, toàn bộ hệ thống mạng sẽ bị treo và yêu cầu kỹ thuật viên phải thiết lập lại cấu hình của các bộ định tuyến.","Không phù hợp với các ứng dụng yêu cầu thời gian thực vì độ trễ rất lớn do quá trình nhận, lưu trữ toàn bộ thông báo rồi mới chuyển tiếp tại các nút mạng.","Bắt buộc phải chia dữ liệu thành những đơn vị có kích thước siêu nhỏ khiến cho phần thông tin tiêu đề điều khiển chiếm quá nhiều dung lượng kênh truyền.","C"
"Tại sao mạng chuyển mạch gói (Packet switching) lại được ứng dụng rộng rãi trên mạng Internet hiện nay?","Vì nó thiết lập một liên kết vật lý kiên cố và không thể bị xâm nhập giữa máy gửi và máy nhận, mang lại độ bảo mật tuyệt đối cho giao dịch ngân hàng.","Vì nó chia dữ liệu thành các khối nhỏ định tuyến độc lập, giúp nhiều người dùng có thể cùng chia sẻ hiệu quả một kênh truyền mà không gây tắc nghẽn hoàn toàn.","Vì nó bắt buộc các thiết bị đầu cuối phải lưu trữ lại mọi thông tin giao dịch trong ổ cứng trước khi được phép tiếp tục gửi những phần thông điệp tiếp theo.","Vì nó là công nghệ duy nhất có khả năng khuếch đại tín hiệu ánh sáng trong các tuyến cáp quang xuyên biển để đảm bảo chất lượng hình ảnh luôn ở mức cao nhất.","B"
"Mục đích chính của việc áp dụng kiến trúc phân lớp (layered model) trong thiết kế mạng là gì?","Nhằm mã hóa tất cả các luồng thông tin người dùng từ trên xuống dưới để ngăn chặn triệt để sự xâm nhập của tin tặc vào hệ thống cơ sở dữ liệu nội bộ.","Nhằm thay thế hoàn toàn hệ thống chuyển mạch kênh cũ kỹ bằng công nghệ chuyển mạch gói tiên tiến hơn với độ trễ tối thiểu cho môi trường viễn thông.","Nhằm mô đun hóa các hoạt động phức tạp, giúp các nhà cung cấp dễ dàng thiết kế giao thức và đảm bảo sự thay đổi công nghệ ở một lớp không làm ảnh hưởng lớp khác.","Nhằm thiết lập một liên kết vật lý trực tiếp giữa các thiết bị chuyển mạch cốt lõi với nhau, từ đó loại bỏ sự phụ thuộc vào các máy chủ phân giải tên miền.","C"
"Trong mô hình tham chiếu OSI, Lớp ứng dụng (Application Layer) đảm nhận chức năng cốt lõi nào?","Tiến hành nén dữ liệu và mã hóa các tệp tin hình ảnh, âm thanh sang định dạng tiêu chuẩn nhằm tối ưu hóa dung lượng trước khi chuyển qua cáp mạng.","Cung cấp trực tiếp các giao diện để phần mềm của người sử dụng có thể kết nối và trao đổi thông tin với các dịch vụ đang chạy trên hệ thống mạng.","Thiết lập các mạch ảo tin cậy và kiểm tra lỗi của từng gói tin một cách chặt chẽ để đảm bảo mọi luồng dữ liệu truyền đi đều đến đích chính xác tuyệt đối.","Chuyển đổi chuỗi các bit nhị phân thành những tín hiệu điện từ hoặc xung ánh sáng vô hình để truyền dọc theo cấu trúc vật lý của hệ thống cáp đồng trục.","B"
"Chức năng định tuyến (Routing) trong mô hình tham chiếu OSI được thực hiện ở lớp nào?","Lớp phiên (Session Layer), nơi quản lý quá trình thiết lập và đồng bộ hóa các cuộc hội thoại giữa máy khách và máy chủ cơ sở dữ liệu.","Lớp trình diễn (Presentation Layer), nơi đảm bảo mọi thông tin địa chỉ đều được mã hóa theo một tiêu chuẩn mã hóa duy nhất trên toàn cầu.","Lớp mạng (Network Layer), nơi sử dụng địa chỉ logic để xác định đường dẫn tốt nhất và chuyển giao các gói tin đi qua nhiều hệ thống mạng khác nhau.","Lớp vật lý (Physical Layer), nơi phân bổ băng thông dựa trên tần số xung ánh sáng để các gói tin có thể lướt đi trên cáp quang với tốc độ cao nhất.","C"
"Quá trình đóng gói dữ liệu (Encapsulation) tại bên gửi diễn ra theo trình tự như thế nào trong kiến trúc phân lớp?","Mỗi lớp khi nhận dữ liệu từ lớp trên sẽ tự động loại bỏ bớt các thông tin tiêu đề không còn cần thiết trước khi chuyển khối dữ liệu đó xuống lớp bên dưới.","Mỗi lớp khi nhận dữ liệu từ lớp trên sẽ tiến hành bổ sung thêm các thông tin tiêu đề điều khiển riêng của lớp mình rồi mới đẩy toàn bộ xuống lớp thấp hơn.","Lớp ứng dụng sẽ gom toàn bộ các thông tin của cả 7 lớp vào một tệp nén duy nhất và gửi trực tiếp xuống thẳng lớp vật lý để tiết kiệm tối đa thời gian xử lý.","Dữ liệu sẽ được chuyển đổi ngay lập tức thành các xung điện từ tại lớp mạng để tránh nguy cơ bị theo dõi bởi các hệ thống kiểm tra an ninh từ tin tặc.","B"
"Sự khác biệt chính giữa Giao thức hướng liên kết (Connection-Oriented) và Giao thức không liên kết (Connectionless) là gì?","Hướng liên kết sử dụng sóng vô tuyến để kết nối liên tục, trong khi không liên kết chỉ dùng các đường cáp đồng truyền thống bị giới hạn về độ dài địa lý.","Hướng liên kết yêu cầu phải thiết lập một kênh giao tiếp logic trước khi truyền dữ liệu đảm bảo tin cậy, còn không liên kết truyền ngay lập tức mà không cần kết nối trước.","Hướng liên kết luôn luôn bảo mật toàn bộ thông tin nội bộ của các cơ quan chính phủ, trong khi không liên kết là tiêu chuẩn mặc định cho mạng xã hội công cộng.","Hướng liên kết cho phép dữ liệu đi theo hàng nghìn lộ trình ngẫu nhiên khác nhau, còn không liên kết bắt buộc mọi dữ liệu chạy theo một đường cáp cố định duy nhất.","B"
