"Câu hỏi","Đáp án A","Đáp án B","Đáp án C","Đáp án D","Đáp án đúng"
"Mạng máy tính (Computer Network) được định nghĩa là gì?","Là hệ thống bao gồm các máy tính đơn lẻ kết nối với nhau qua đường truyền vật lý, theo kiến trúc mạng và có khả năng trao đổi thông tin.","Là tập hợp các phần mềm ứng dụng được cài đặt trên nhiều máy tính khác nhau để chia sẻ dữ liệu và phân quyền quản trị hệ thống.","Là một môi trường không gian mạng ảo giúp người dùng truy cập Internet thông qua các nhà cung cấp dịch vụ viễn thông và thiết bị định tuyến.","Là sự liên kết giữa các trung tâm dữ liệu lớn với các thiết bị di động cá nhân nhằm mục đích lưu trữ và xử lý điện toán đám mây.","A"
"Đâu là nhược điểm chính của mạng dạng sao (Star Topology)?","Khi thiết bị trung tâm gặp sự cố, toàn bộ hệ thống mạng sẽ không thể hoạt động và bị cô lập hoàn toàn.","Rất khó phát hiện lỗi khi có một đoạn cáp bị đứt và phải ngừng toàn bộ đường dây để tiến hành sửa chữa.","Việc truyền dữ liệu thường xuyên gây ra sự ùn tắc giao thông nghiêm trọng khi lưu lượng thông tin trên mạng tăng cao.","Tổng chiều dài đường dây cáp cần thiết rất lớn khiến cho việc triển khai và lắp đặt trở nên vô cùng phức tạp.","A"
"Mô hình mạng ngang hàng (Peer-to-Peer) có nhược điểm gì khiến nó chỉ được khuyến nghị cho các mạng rất nhỏ?","Chi phí thiết lập ban đầu cực kỳ tốn kém, yêu cầu nhiều thiết bị phần cứng chuyên dụng và nhân sự có chuyên môn.","Dữ liệu bắt buộc phải được lưu trữ trên một máy chủ trung tâm duy nhất khiến tốc độ truy xuất thông tin bị chậm.","Quản trị không tập trung, mức độ bảo mật kém, không có khả năng mở rộng quy mô và hiệu năng hoạt động thấp.","Mạng thường xuyên bị lỗi khi có quá nhiều người cùng sử dụng máy in và không thể chia sẻ các tập tin kích thước lớn.","C"
"Bốn đặc điểm cơ bản mà các kiến trúc mạng cần giải quyết để đáp ứng mong đợi của người dùng là gì?","Khả năng định tuyến, khả năng tương thích, tốc độ đường truyền và tính năng quản trị mạng.","Khả năng lưu trữ, khả năng đồng bộ, băng thông tốc độ cao và tính năng phân quyền.","Khả năng tính toán, khả năng kết nối, hiệu suất máy chủ và tính năng khôi phục dữ liệu.","Khả năng chịu lỗi, khả năng mở rộng, chất lượng dịch vụ và tính năng bảo mật mạng.","D"
"Trong kiến trúc mạng, Chất lượng dịch vụ (QoS) đóng vai trò như thế nào đối với các ứng dụng truyền giọng nói và video trực tiếp?","Là cơ chế chính được sử dụng để ưu tiên luồng dữ liệu, đảm bảo phân phối nội dung đáng tin cậy và không bị ngắt quãng.","Là phương thức mã hóa thông tin phức tạp giúp bảo vệ các cuộc gọi trực tuyến khỏi các nguy cơ bị đánh cắp và nghe lén.","Là kỹ thuật tăng cường băng thông vật lý trên cáp quang để thiết bị đầu cuối có thể tải các tập tin dung lượng lớn nhanh hơn.","Là giải pháp lưu trữ tạm thời các video trực tiếp tại bộ định tuyến trước khi phát tới màn hình của người sử dụng mạng cục bộ.","A"
"Tính toàn vẹn (Integrity) trong các mục tiêu của bảo mật mạng được hiểu như thế nào?","Đảm bảo rằng chỉ những người nhận được hệ thống chỉ định hoặc cấp quyền mới có thể đọc và truy cập vào các dữ liệu bí mật.","Đảm bảo hệ thống cung cấp quyền truy cập dữ liệu một cách kịp thời và đáng tin cậy cho tất cả những người dùng đã được ủy quyền.","Đảm bảo sự hoạt động liên tục của các thiết bị mạng vật lý trước những cuộc tấn công từ chối dịch vụ hoặc do các sự cố mất điện.","Đảm bảo rằng thông tin và dữ liệu không bị sửa đổi hay thay thế một cách trái phép trong suốt quá trình truyền tải trên mạng.","D"
"Trong mô hình truyền thông qua mạng điện thoại công cộng, thiết bị Modem đóng vai trò gì?","Đóng vai trò là hệ thống lưu trữ đích (Destination) để nhận và lưu lại toàn bộ các tập tin gửi từ thiết bị người dùng.","Đóng vai trò là thiết bị truyền (Transmitter) ở hệ thống nguồn và thiết bị nhận (Receiver) ở hệ thống đích để trao đổi tín hiệu.","Đóng vai trò là kênh truyền tải (Transmission System) trực tiếp nối kết các máy trạm với máy chủ mà không cần đi qua trung gian.","Đóng vai trò là nguồn phát thông điệp (Source) tạo ra dữ liệu ban đầu trước khi gửi chúng lên hệ thống điện thoại công cộng.","B"
"Tùy chọn phân phối thông điệp Multicast (Đa hướng) trong mạng máy tính hoạt động theo nguyên tắc nào?","Thông tin từ một nguồn đang được phát tán rộng rãi và truyền đến tất cả các thiết bị đầu cuối hiện đang kết nối trong mạng.","Thông tin từ một nguồn đang được chuyển giao trực tiếp và duy nhất đến đúng một thiết bị đầu cuối đích thông qua địa chỉ mạng.","Thông tin từ một nguồn đang được truyền đến một nhóm giới hạn gồm một hoặc nhiều thiết bị đầu cuối có nhu cầu nhận dữ liệu.","Thông tin từ nhiều thiết bị nguồn khác nhau cùng lúc được truyền tập trung về một máy chủ trung tâm để tiến hành xử lý dữ liệu.","C"
"Sự kiện nào đánh dấu bước ngoặt quan trọng của ngành công nghệ thông tin khi Việt Nam chính thức kết nối Internet?","Ngày 19 tháng 11 năm 1991, với một đường kết nối quốc tế sử dụng băng thông 64kbps cho một số ít người sử dụng đầu tiên.","Ngày 19 tháng 11 năm 1997, với một trạm trung chuyển Internet quốc gia và bốn nhà cung cấp dịch vụ được cấp phép hoạt động.","Ngày 19 tháng 11 năm 2007, khi tỷ lệ người dân Việt Nam sử dụng các dịch vụ Internet băng thông rộng đạt mức kỷ lục 22.04%.","Ngày 19 tháng 11 năm 1996, khi Tổng công ty Bưu chính Viễn thông Việt Nam xây dựng thành công dự án hạ tầng mạng cáp quang.","B"
"Đặc điểm của Nhà cung cấp dịch vụ Internet dùng riêng (ISP dùng riêng) là gì?","Được quyền cung cấp đầy đủ các dịch vụ Internet nhưng tuyệt đối không được phép sử dụng những dịch vụ này với mục đích kinh doanh.","Chuyên cung cấp các giải pháp kết nối mạng tốc độ cao để thu lợi nhuận từ các đơn vị, tổ chức doanh nghiệp và cá nhân.","Đóng vai trò là cổng truy cập Internet quốc gia để quản lý và phân phối tài nguyên băng thông cho các nhà mạng nhỏ hơn bên dưới.","Chỉ tập trung xây dựng các trang tin điện tử tổng hợp để đưa lên mạng các nội dung giáo dục, thể thao và chính trị miễn phí.","A"
