"Câu hỏi","Đáp án A","Đáp án B","Đáp án C","Đáp án D","Đáp án đúng"
"Tín hiệu (Signal) trong hệ thống truyền thông được định nghĩa một cách chính xác là gì?","Là thông tin hoặc dữ liệu đã được xử lý (mã hóa, điều chế) để có thể truyền đi trên các hệ thống truyền dẫn.","Là tập hợp các sự kiện, khái niệm hoặc chỉ thị thô chưa qua xử lý được lưu trữ trên ổ cứng của các máy tính.","Là hình thức biểu diễn duy nhất bằng ngôn ngữ nhị phân nhằm tối ưu hóa việc phân tích dữ liệu của con người.","Là những tín hiệu điện từ luôn giữ nguyên biên độ và tần số trong suốt quá trình lan truyền qua môi trường.","A"
"Công thức tính toán độ suy hao (Attenuation) của tín hiệu khi truyền qua một môi trường dẫn là gì?","Độ suy hao = (P2 - P1) / (P1 * 100) (dB), với P1 là công suất tín hiệu gốc và P2 là công suất suy giảm.","Độ suy hao = R_s * log2 (M) (dB), với R_s là tốc độ baud và M là số mức thay đổi của tín hiệu mạng.","Độ suy hao = 10 * log10 (P1 / P2) (dB), với P1 là công suất nhận và P2 là công suất truyền.","Độ suy hao = 2 * W * log2 (1 + S/N) (dB), với W là băng thông và S/N là tỷ số tín hiệu trên nhiễu.","C"
"Nhiễu nhiệt (Thermal noise) trên kênh truyền dẫn xuất phát từ nguyên nhân cốt lõi nào?","Do tác động của các xung điện từ bức xạ cực mạnh từ các tia sét hoặc hệ thống đánh lửa bên ngoài khí quyển.","Do tính chất phi tuyến tính của các thiết bị thu phát sóng khi chúng vận hành ở mức nhiệt độ cực kỳ thấp.","Do dao động nhiệt hỗn loạn của các điện tử bên trong chất dẫn tạo ra, phân tán đều trên toàn bộ phổ tần số.","Do tín hiệu từ đường cáp quang bên cạnh rò rỉ và lan truyền chéo sang lõi đồng của đường cáp đang sử dụng.","C"
"Một kênh truyền có băng thông W = 3100 Hz và tỷ lệ tín hiệu trên nhiễu S/N = 15. Tốc độ truyền cực đại C (bps) theo định lý Shannon-Hartley là bao nhiêu?","C = 15 * 3100 * log2(2) = 46500 bps.","C = 3100 * log2(1 + 15) = 12400 bps.","C = 3100 * log10(1 + 15) = 3732 bps.","C = 2 * 3100 * log2(15) = 24223 bps.","B"
"Định lý Nyquist dùng để tính tốc độ truyền tín hiệu cực đại C (bps) trên kênh truyền lý tưởng không nhiễu dựa vào công thức nào?","C = 2 * W * log2(M)","C = 10 * log10(P1 / P2)","C = W * log2(1 + S/N)","C = R_s * log10(M)","A"
"Hai máy tính truyền dữ liệu cho nhau qua bộ định tuyến. Máy phát kết nối với bộ định tuyến bằng kênh Rs = 80 Mbps. Bộ định tuyến nối với máy thu bằng kênh Rc = 20 Mbps. Thông lượng (Throughput) tối đa của hệ thống đạt xấp xỉ mức nào?","Đạt 80 Mbps vì luồng dữ liệu xuất phát ban đầu có tốc độ mạnh nhất quyết định tốc độ của toàn bộ hệ thống.","Đạt 50 Mbps do bộ định tuyến sẽ tự động lấy mức trung bình cộng của cả hai đường truyền để cân bằng tải.","Đạt 100 Mbps nhờ cơ chế gộp băng thông giữa hai liên kết máy phát và máy thu tại bộ định tuyến trung tâm.","Đạt 20 Mbps do kênh truyền Rc chính là nút thắt cổ chai (bottleneck) giới hạn luồng dữ liệu của toàn mạng.","D"
"Độ trễ lan truyền (Propagation delay) của tín hiệu trong đường truyền phụ thuộc vào hai yếu tố chính nào?","Thời gian chờ đợi của gói tin bên trong hàng đợi bộ nhớ đệm và thời gian trích xuất tiêu đề tại bộ phát.","Số lượng hệ thống trạm thu phát sóng vô tuyến và mức độ nhiễu nhiệt do thời tiết trên không gian mạng.","Khoảng cách chiều dài đường truyền vật lý và tốc độ lan truyền tín hiệu trong môi trường truyền dẫn đó.","Kích thước của toàn bộ gói dữ liệu được đóng gói và dung lượng băng thông tối đa của thiết bị định tuyến.","C"
"Cáp U/UTP (Unshielded Twisted Pair) là loại cáp mạng có thiết kế đặc trưng như thế nào?","Là cáp gồm các đôi dây xoắn được phủ thêm lớp vỏ nhôm kết hợp lưới bện đồng dày đặc để triệt tiêu bức xạ.","Là cáp gồm các đôi dây dẫn đồng bọc cách điện xoắn lại với nhau, không có lớp lưới hoặc vỏ bọc chống nhiễu.","Là cáp gồm nhiều sợi thủy tinh siêu mảnh giúp truyền dẫn ánh sáng, được bọc ngoài bằng lớp nhựa Kevlar.","Là cáp đồng có một lõi trung tâm duy nhất, được bọc bởi lớp lưới kim loại dày chống nhiễu vô tuyến toàn diện.","B"
"Điểm khác biệt lớn nhất giữa chế độ truyền Single mode và Multi mode của cáp quang là gì?","Single mode bắt buộc phải có các trạm khuếch đại tín hiệu mỗi 100 mét, còn Multi mode truyền xa hàng ngàn km.","Single mode sử dụng tần số sóng vô tuyến cực thấp để chống nhiễu, trong khi Multi mode sử dụng tia hồng ngoại.","Single mode có lõi rất nhỏ, ánh sáng truyền đi theo đường thẳng duy nhất nên ít méo dạng, dùng cho đường dài.","Single mode cho phép nhiều tia sáng đi theo các góc khúc xạ khác nhau nên băng thông lớn, dùng cho mạng LAN.","C"
"So với cáp đồng, quá trình thi công và bảo trì đường cáp quang gặp phải nhược điểm khó khăn nào?","Dòng điện một chiều trong cáp quang có điện áp rất lớn gây nguy hiểm tính mạng cho người trực tiếp thi công.","Cáp quang rất dễ bị tấn công đánh cắp tín hiệu (nghe lén) từ bên ngoài bằng các thiết bị từ tính thông thường.","Lõi sợi cáp quang bằng thủy tinh rất giòn, dễ gãy và đòi hỏi kỹ thuật viên phải có thiết bị hàn nối chuyên dụng.","Trọng lượng của cáp quang cực kỳ nặng khiến việc triển khai tại các tòa nhà cao tầng trở nên vô cùng tốn kém.","C"
