"Câu hỏi","Đáp án A","Đáp án B","Đáp án C","Đáp án D","Đáp án đúng"
"Theo tài liệu, lỗi một bit (single bit) thường xảy ra do nguyên nhân nào?","Thường xảy ra do nhiễu trắng trên đường truyền dẫn.","Thường do việc nén các tệp âm thanh xuống kích thước quá nhỏ.","Xảy ra do các thiết bị định tuyến trung gian cố tình thay đổi.","Xảy ra do xung điện áp bị mất đột ngột trong 1 giây.","A"
"Chiều dài của lỗi bệt (burst error) được tính như thế nào?","Tính bằng kích thước của toàn bộ gói dữ liệu nhận được nhân với tỷ lệ lỗi trung bình.","Tính từ đầu khung dữ liệu cho đến khi gặp bit đúng đầu tiên xuất hiện.","Là tổng số lượng các bit bị sai liên tiếp nhau mà không bị ngắt quãng bởi bit đúng.","Tính từ bit sai đầu tiên cho đến bit sai cuối, một số bit bên trong có thể không sai.","D"
"Phương pháp VRC (Vertical Redundancy Check) thêm bit kiểm tra dựa trên nguyên tắc nào?","Thêm 1 bit sao cho tổng số bit 1 trong đơn vị dữ liệu là số chẵn.","Thêm 1 bit bằng cách đảo ngược giá trị của bit nằm ở vị trí cuối cùng.","Thêm 1 bit vào đầu mỗi byte dữ liệu để đánh dấu vị trí bắt đầu khung.","Thêm 1 bit bằng cách lấy giá trị trung bình cộng của toàn bộ gói tin.","A"
"Giả sử truyền đơn vị dữ liệu nhị phân 'c' (ASCII 99) là 1100011, bit parity chẵn (VRC) cần thêm vào là bao nhiêu?","Thêm bit 1 (vì tổng số bit 1 đang là 4, thêm 1 để nâng lên 5).","Thêm bit 1 (bắt buộc thêm 1 ở tất cả các ký tự chữ cái viết thường).","Thêm bit 0 (vì tổng số bit 1 đang là 4, là một số chẵn).","Thêm bit 0 (vì đơn vị dữ liệu này bắt đầu bằng hai bit 1).","C"
"Nếu dữ liệu có dạng 1000111011 và có 2 bit bị lỗi làm thay đổi giá trị, phương pháp VRC sẽ xử lý như thế nào?","Máy thu sử dụng mạch VRC để đánh dấu hai vị trí lỗi rồi chuyển cho lớp trên xử lý.","Máy thu tự động sửa lỗi vì số bit lỗi nhỏ hơn hoặc bằng 2.","Máy thu không phát hiện được lỗi và sẽ chấp nhận dữ liệu sai này.","Máy thu lập tức phát hiện ra lỗi và yêu cầu máy phát truyền lại toàn bộ.","C"
"Phương pháp kiểm tra LRC (Longitudinal Redundancy Check) hoạt động dựa trên cơ chế nào?","Chia khối dữ liệu thành 3 phần bằng nhau, lấy tổng rồi thực hiện phép cộng bù 1.","Khối bit được sắp xếp thành bảng hàng và cột, tìm bit VRC cho mỗi cột tạo thành một hàng mới LRC gắn vào cuối.","Nhân các bit của gói dữ liệu với một đa thức sinh, sau đó lấy số dư gắn vào phần đuôi.","Gửi liên tục 2 bản sao của khối bit và so sánh để lấy kết quả trùng khớp nhất.","B"
"Khi nào phương pháp LRC KHÔNG phát hiện được lỗi trên đường truyền?","Khi lỗi chỉ xảy ra tại đúng bit đầu tiên và bit cuối cùng của một chuỗi 8 bit bất kỳ.","Khi hai bit (hoặc một số chẵn bit) cùng sai ở các vị trí giống nhau trong một đơn vị dữ liệu.","Khi hệ thống sử dụng thuật toán truyền tin không dây có tính chất nhiễu trắng cao.","Khi chiều dài của lỗi bệt lớn hơn số lượng hàng của ma trận dữ liệu được gửi đi.","B"
"Đặc điểm nào ĐÚNG khi nói về phép chia trong phương pháp CRC theo tài liệu?","Dùng phép chia modulo-2, cộng không nhớ (OR) và trừ không mượn (XOR).","Thực hiện thuật toán băm (hash) để tạo ra chữ ký điện tử chia lấy dư.","Chỉ sử dụng phép cộng có nhớ và phép trừ thập phân để lấy phần dư mã hóa.","Dùng phép chia đại số thông thường nhưng luôn luôn làm tròn số dư lên 1.","A"
"Nếu số chia (đa thức sinh) trong phương pháp CRC có n+1 bit, thì phần số dư CRC được gắn vào cuối dữ liệu sẽ có bao nhiêu bit?","Có n + 1 bit.","Có đúng n bit.","Có n - 1 bit.","Có 2^n bit.","B"
"Trong máy thu của phương pháp CRC, làm thế nào để biết dữ liệu nhận được là đúng hay sai?","Đem chuỗi dữ liệu nhận được cộng với đa thức sinh, nếu ra kết quả âm thì dữ liệu đã bị biến dạng.","Chỉ cần kiểm tra n bit cuối cùng, nếu chứa toàn số 0 thì dữ liệu đó hoàn toàn nguyên vẹn.","Đếm tổng số bit 1 trong chuỗi, nếu là số chẵn thì dữ liệu đúng, nếu số lẻ thì dữ liệu sai.","Đem toàn bộ chuỗi nhận được chia cho số chia, nếu số dư bằng 0 thì dữ liệu đúng, khác 0 thì sai.","D"
