"Câu hỏi","Đáp án A","Đáp án B","Đáp án C","Đáp án D","Đáp án đúng"
"Câu 1: Trong logic mệnh đề, một 'Mệnh đề' (Statement) được định nghĩa là gì?","Một câu hỏi hoặc câu cảm thán","Một phát biểu khẳng định tính ĐÚNG hoặc SAI (True/False)","Một biến ngẫu nhiên","Một đoạn mã nguồn chương trình","B"
"Câu 2: Ngôn ngữ biểu diễn tri thức bao gồm 3 thành phần cốt lõi nào?","Dữ liệu, Thuật toán, Phần cứng","Trạng thái, Hành động, Hàm đánh giá","Cú pháp, Ngữ nghĩa, Cơ chế suy diễn","Ký hiệu, Mệnh đề, Dấu ngoặc","C"
"Câu 3: Thành phần 'Ngữ nghĩa' trong ngôn ngữ biểu diễn tri thức có vai trò gì?","Liên kết các ký hiệu lại với nhau","Xác định ý nghĩa của các câu đối với thế giới thực","Thực thi các vòng lặp thuật toán","Tạo ra các luật If-Then","B"
"Câu 4: Các phép toán (kết nối) lôgíc cơ bản trong cú pháp của logic mệnh đề bao gồm:","Cộng, Trừ, Nhân, Chia","AND, OR, XOR, NAND","Hội (AND), Tuyển (OR), Phủ định (NOT), Kéo theo, Tương đương","IF, ELSE, SWITCH, CASE","C"
"Câu 5: Trong logic mệnh đề, nếu P là một ký hiệu mệnh đề thì P và phủ định của P được gọi chung là gì?","Câu phức hợp","Literal","Dạng chuẩn hội","Dạng chuẩn Horn","B"
"Câu 6: Literal có chứa dấu phủ định được gọi là gì?","Literal dương","Literal âm","Literal trung tính","Literal phức hợp","B"
"Câu 7: Ý nghĩa của các phép kết nối logic (Ngữ nghĩa) thường được biểu diễn trực quan thông qua công cụ nào?","Cây nhị phân","Đồ thị có hướng","Bảng chân lý (Truth table)","Mạng nơ-ron","C"
"Câu 8: Theo bảng chân lý, mệnh đề P => Q (P kéo theo Q) chỉ mang giá trị False (SAI) trong trường hợp duy nhất nào?","P = False, Q = False","P = False, Q = True","P = True, Q = True","P = True, Q = False","D"
"Câu 9: Câu Tuyển (chuẩn OR) là một công thức có dạng:","A1 OR A2 OR ... OR Am","A1 AND A2 AND ... AND Am","A1 => A2 => ... => Am","NOT A1 OR NOT A2 OR ... OR NOT Am","A"
"Câu 10: Để biến đổi một công thức về dạng chuẩn, bước đầu tiên cần làm để loại bỏ dấu kéo theo (=>) là gì?","Thay (A => B) bằng (A AND B)","Thay (A => B) bằng (NOT A OR B)","Thay (A => B) bằng (A OR NOT B)","Thay (A => B) bằng NOT(A AND B)","B"
"Câu 11: Trong các bước biến đổi về dạng chuẩn, luật De Morgan được sử dụng để làm gì?","Loại bỏ dấu kéo theo","Chuyển các dấu phủ định vào sát các ký hiệu mệnh đề","Áp dụng tính chất phân phối","Rút gọn các mệnh đề thừa","B"
"Câu 12: Dạng chuẩn Horn (Câu Horn) đặc biệt hữu ích trong Trí tuệ nhân tạo. Đặc điểm của câu Horn là gì?","Là một câu tuyển không chứa bất kỳ literal dương nào","Là một câu tuyển chứa *nhiều nhất* một literal dương","Là một câu hội chứa toàn literal âm","Là một câu chỉ chứa toàn phép kéo theo","B"
"Câu 13: Một câu Horn có dạng P1 AND P2 AND ... AND Pm => Q (với Q là literal dương) thường được biểu diễn trong hệ chuyên gia dưới dạng cấu trúc nào?","Cấu trúc Vòng lặp For","Cấu trúc Luật If-Then (If P1 and ... and Pm then Q)","Cấu trúc Case-Switch","Cấu trúc Đồ thị","B"
"Câu 14: Khi m = 0 và n = 1, câu Horn chỉ còn lại một literal dương Q. Dạng này được gọi là gì?","Luật If-Then","Giả thiết phủ định","Sự kiện (Fact) hoặc Câu đơn Q","Lệnh điều khiển","C"
"Câu 15: Tính chất nào sau đây thể hiện Luật bài trung (Loại trừ cái thứ ba) trong logic mệnh đề?","A AND A = A","A AND 1 = A","A OR NOT A = 1 (True)","A AND NOT A = 0 (False)","C"
"Câu 16: Biểu thức tương đương của phép tương đương lôgíc A <=> B là gì?","(A => B) OR (B => A)","(A => B) AND (B => A)","NOT A OR B","A AND B","B"
"Câu 17: Luật phân phối giữa phép HOẶC và phép VÀ được viết đúng là:","A OR (B AND C) = (A OR B) AND (A OR C)","A OR (B AND C) = (A AND B) OR (A AND C)","A OR (B AND C) = A OR B OR C","A OR (B AND C) = NOT A AND (B OR C)","A"
"Câu 18: 'Từ một kéo theo và giả thiết của kéo theo, ta suy ra kết luận của nó'. Đây là phát biểu của luật suy diễn nào?","Luật Modus Tollens","Luật Modus Ponens","Luật bắc cầu","Luật loại bỏ hội","B"
"Câu 19: Luật Modus Tollens được biểu diễn bằng công thức nào?","a => b, a === b","a => b, b => c === a => c","a => b, NOT b === NOT a","a OR b, NOT b === a","C"
"Câu 20: 'Từ hai tuyển, một tuyển chứa một hạng tử đối lập với một hạng tử trong tuyển kia, ta suy ra tuyển của các hạng tử còn lại'. Đây là nguyên lý của luật nào?","Luật De Morgan","Luật Phân giải (Resolution)","Luật Bắc cầu","Luật Modus Ponens","B"
"Câu 21: Trong thuật toán chứng minh tự động, bài toán đặt ra là: Cho tập giả thiết GT, cần chứng minh điều gì?","Chứng minh tập GT rỗng","Chứng minh tập kết luận KL = {KL1, ..., KLm}","Chứng minh đồ thị có chu trình","Chứng minh hàm Heuristic là tối ưu","B"
"Câu 22: Thuật toán Tách - Chuyển vế (Wong. H) yêu cầu đưa biểu thức giả thiết và kết luận về dạng chuẩn nào ở Bước 1?","Chuẩn VÀ (Chuẩn Hội)","Dạng chuẩn Horn","Chuẩn HOẶC (Chuẩn Tuyển)","Dạng đồ thị VÀ/HOẶC","C"
